TF  AUC AUPR    RECALL  F1
ATF3	0.958050361166889	0.36394241403014593	0.2919291929192919	0.3686304224284902
BACH1	0.9385682074859701	0.46373358668346293	0.4288962742697219	0.46172676772431975
BRCA1	0.928887760738889	0.09160164102211893	0.0073059360730593605	0.014401440144014399
CEBPB	0.9731241506513766	0.8044093164639616	0.865139116202946	0.6337369619949647
CTCF	0.9706258603550941	0.7232454753951499	0.9366796875	0.651975311998695
EGR1	0.9261001864074369	0.25780872448723247	0.03722084367245657	0.06928406466512702
FOSL1	0.9010336342268785	0.015937925755031154	0.0	0.0
GABP	0.953910383032865	0.2794244038956488	0.07804878048780488	0.13502109704641352
JUN	0.9412441618514366	0.27641079826623355	0.19662625197680547	0.2822550132425274
JUND	0.9406741973080779	0.4791933832084069	0.4627689963816416	0.4806646226881614
MAFK	0.9783486662934432	0.7512777708976711	0.839632277834525	0.6267632481890963
MAX	0.9472186282990773	0.3341218023878111	0.2608038029386344	0.3428003408122693
MYC	0.9541235084072576	0.29302061070715535	0.13946654611211573	0.21809826793920112
NRF1	0.9730432143087868	0.5718485583270481	0.6428571428571429	0.5625000000000001
P300	0.9378400142018298	0.32056422536554885	0.13403966982875445	0.21140580977363255
POU5F1	0.9594214550246988	0.3874175285179486	0.32252901160464187	0.3921187059109706
RAD21	0.9641911783928756	0.7849259955560111	0.9334469986477747	0.651190451776962
REST	0.9584645593431105	0.7369184276480427	0.75	0.6
RFX5	0.8052502712790943	0.02405393351070268	0.0	0.0
RXRA	0.914519060693213	0.05637310902775115	0.004429678848283499	0.008781558726673985
SIX5	0.957681682671453	0.525032770525978	0.6042749855574813	0.5472142296625687
SP1	0.9390463360110175	0.49808294757225485	0.5158054135907628	0.5077797447125687
SP2	0.9525451475920523	0.2923540661089184	0.20252572497661367	0.28828229027962715
SP4	0.9537715035272123	0.368649075793772	0.07975843398583923	0.13757183908045975
SRF	0.9314109010574639	0.3629689638017189	0.31134298216088857	0.38373781373159094
TBP	0.9412100215326256	0.5044215417447873	0.5311723514795572	0.5151150054764513
TCF12	0.9252218912408767	0.2936468236280448	0.13322972591127438	0.2103971441320839
USF1	0.9794394535255162	0.8200955359332478	0.9251532478236233	0.6491605371116693
USF2	0.9562360926483165	0.47991675057066463	0.4754611903933171	0.4874219446922391
YY1	0.9435963082683136	0.5855003941791834	0.6186036982021206	0.5530141722187879
ZNF143	0.9254191277015805	0.6877767009867892	0.7605012992993652	0.6033324199840816
